"EN.1";"EN.2";"RO.1";"RO.2";"AR.1";"AR.2";"ES.1";"ES.2";"score"
"dollar";"loss";"dolar";"pierdere";"دولار";"خسائر";"dolar";"perdida";6.09
"dollar";"profit";"dolar";"profit";"دولار";"ربح";"dolar";"beneficio";7.38
"dollar";"yen";"dolar";"yen";"دولار";"دينار";"dolar";"yen";7.78
"drink";"car";"băutură";"maşină";"شرب";"سيارة";"beber";"coche";3.04
"drink";"ear";"băutură";"ureche";"شرب";"الأذن";"bebida";"oreja";1.31
"drink";"eat";"băutură";"mânca";"شراب";"يأكل";"beber";"comer";6.87
"drink";"mother";"băutură";"mamă";"شرب";"أم";"bebida";"madre";2.65
"drink";"mouth";"băutură";"gură";"شرب";"شفاه";"bebida";"boca";5.96
"drug";"abuse";"narcotic";"abuz";"مخدرات";"إيذاء";"droga";"abuso";6.85
"energy";"crisis";"energie";"criză";"طاقة";"أزمة";"energia";"crisis";5.94
"energy";"laboratory";"energie";"laborator";"طاقة";"مختبر";"energia";"laboratorio";5.09
"energy";"secretary";"energie";"secretar";"طاقة";"سكرتير";"energia";"secretaria";1.81
"environment";"ecology";"mediu";"ecologie";"بيئة";"الإيكولوجيا";"ambiente";"ecologia";8.81
"equipment";"maker";"echipament";"producător";"معدات";"صناع";"equipo";"fabricante";5.91
"exhibit";"memorabilia";"expoziţie";"suveniruri";"معرض";"تذكارات";"exhibicion";"recuerdos";5.31
"experience";"music";"experienţă";"muzică";"خبره";"موسيقى";"experiencia";"musica";3.47
"family";"planning";"familie";"planificare";"أسرة";"تنظيم";"familia";"planificacion";6.25
"FBI";"fingerprint";"FBI";"anchetă";"شرطه";"بصمات";"policia";"prueba";6.94
"FBI";"investigation";"FBI";"investigaţie";"شرطه";"تحقيق";"policia";"investigacion";8.31
"fertility";"egg";"fertilitate";"ovul";"خصوبة";"بيض";"huevo";"fertilidad";6.69
"fighting";"defeating";"luptă";"învins";"قتال";"هزيمة";"peleando";"derrotar";7.41
"five";"month";"cinci";"lună";"خمسة";"أشهر";"cinco";"mes";3.38
"focus";"life";"concentrare";"viaţă";"تركيز";"حياة";"foco";"vida";4.06
"food";"fruit";"mâncare";"fruct";"طعام";"فاكهه";"comida";"fruta";7.52
"food";"preparation";"mâncare";"preparare";"طعام";"إعداد";"comida";"preparacion";6.22
"food";"rooster";"mâncare";"cocoş";"طعام";"ديك";"comida";"gallo";4.42
"football";"basketball";"rugby";"baschet";"كرة";"سلة";"futbol";"baloncesto";6.81
"football";"soccer";"rugby";"fotbal";"رجبي";"كرة";"rugby";"futbol";9.03
"football";"tennis";"rugby";"tenis";"كرة";"تنس";"futbol";"tenis";6.63
"forest";"graveyard";"pădure";"cimitir";"غابة";"مقبرة";"forestales";"cementerio";1.85
"fuck";"sex";"copula";"sex";"نكاح";"جنس";"follar";"sexo";9.44
"furnace";"stove";"sobă";"cuptor";"فرن";"موقد";"horno";"estufa";8.79
"game";"defeat";"joc";"învingere";"مباراة";"هزيمة";"derrota";"juego";6.97
"game";"round";"joc";"partidă";"مباراة";"جولة";"juego";"ronda";5.97
"game";"series";"joc";"serie";"لعبة";"متتالي";"juego";"serie";6.19
"game";"team";"joc";"echipă";"لعب";"فريق";"juego";"equipo";7.69
"game";"victory";"joc";"victorie";"مباراة";"نصر";"juego";"victoria";7.03
"gem";"jewel";"nestemată";"bijuterie";"جوهرة";"حلية";"gema";"joya";8.96
"gender";"equality";"gen";"egalitate";"جنس";"مساواة";"genero";"igualdad";6.41
"glass";"magician";"sticlă";"magician";"زجاج";"ساحر";"vidrio";"mago";2.08
"glass";"metal";"sticlă";"metal";"زجاج";"معدن";"vidrio";"metal";5.56
"government";"crisis";"guvern";"criză";"حكومة";"أزمة";"gobierno";"crisis";6.56
"governor";"interview";"guvernator";"interviu";"عمدة";"مقابلة";"gobernador";"entrevista";3.25
"governor";"office";"guvernator";"birou";"عمدة";"مكتب";"gobernador";"oficina";6.34
"grocery";"money";"alimentară";"bani";"بقالة";"مال";"comestibles";"dinero";5.94
"Harvard";"Yale";"Harvard";"Yale";"هارفارد";"ييل";"Harvard";"Yale";8.13
"holy";"sex";"sfânt";"sex";"مقدس";"جنس";"sagrado";"sexo";1.62
"hospital";"infrastructure";"spital";"infrastructură";"مستشفى";"بنية";"hospital";"infraestructura";4.63
"hotel";"reservation";"hotel";"rezervare";"فندق";"حجز";"hotel";"reserva";8.03
"hundred";"percent";"sută";"procent";"مئة";"نسبه";"ciento";"porcentaje";7.38
"image";"surface";"imagine";"suprafaţă";"صورة";"سطح";"imagen";"superficie";4.56
"impartiality";"interest";"imparţialitate";"interes";"نزاهة";"مصلحة";"imparcialidad";"interes";5.16
"investigation";"effort";"investigaţie";"efort";"تحقيق";"جهد";"esfuerzo";"investigacion";4.59
"investor";"earning";"investitor";"venit";"مستثمر";"ربح";"inversionista";"ganancia";7.13
"jaguar";"car";"jaguar";"maşină";"جاكوار";"سيارة";"jaguar";"coche";7.27
"jaguar";"cat";"jaguar";"pisică";"جاكوار";"قط";"jaguar";"gato";7.42
"Japanese";"American";"japonez";"american";"ياباني";"أمريكي";"Japones";"americano";6.5
"Jerusalem";"Israel";"Ierusalim";"Israel";"القدس";"اسرائيل";"Jerusalen";"Israel";8.46
"Jerusalem";"Palestinian";"Ierusalim";"palestinian";"القدس";"فلسطين";"Jerusalen";"Palestino";7.65
"journal";"association";"jurnal";"asociaţie";"مجلة";"رابطة";"diario";"asociacion";4.97
"journey";"car";"călătorie";"maşină";"رحلة";"سيارة";"coche";"viaje";5.85
"journey";"voyage";"călătorie";"voiaj";"سفر";"رحلة";"viaje";"pasaje";9.29
"king";"cabbage";"rege";"varză";"ملك";"كرنب";"rey";"repollo";0.23
"king";"queen";"rege";"regină";"ملك";"ملكة";"rey";"reina";8.58
"king";"rook";"rege";"turn";"ملك";"رخ";"rey";"torre";5.92
"lad";"brother";"fecior";"frate";"صبي";"شقيق";"hermano";"muchacho";4.46
"lad";"wizard";"fecior";"vrăjitor";"صبي";"منجم";"muchacho";"hechicero";0.92
"law";"lawyer";"lege";"avocat";"قانون";"محام";"ley";"abogado";8.38
"lawyer";"evidence";"avocat";"dovadă";"محامي";"دليل";"abogado";"evidencia";6.69
"liability";"insurance";"răspundere";"asigurare";"مسؤولية";"تأمين";"responsabilidad";"seguro";7.03
"life";"death";"viaţă";"moarte";"حياة";"موت";"vida";"muerte";7.88
"life";"lesson";"viaţă";"lecţie";"حياة";"درس";"vida";"leccion";5.94
"life";"term";"viaţă";"termen";"حياة";"فترة";"vida";"termino";4.5
"line";"insurance";"limită";"asigurare";"خط";"تأمين";"seguro";"linea";2.69
"liquid";"water";"lichid";"apă";"سائل";"ماء";"liquido";"agua";7.89
"listing";"category";"listare";"categorie";"قائمة";"صنف";"listado";"categoria";6.38
"listing";"proximity";"listare";"proximitate";"قائمة";"قرب";"listado";"proximidad";2.56
"lobster";"food";"homar";"mâncare";"سلطعون";"طعام";"langosta";"comida";7.81
"lobster";"wine";"homar";"vin";"سلطعون";"نبيذ";"langosta";"vino";5.7
"love";"sex";"dragoste";"sex";"حب";"جنس";"amor";"sexo";6.77
"lover";"quarrel";"amant";"ceartă";"محب";"خصام";"amante";"pelea";6.19
"luxury";"car";"lux";"maşină";"فاخر";"سيارة";"lujo";"coche";6.47
"magician";"wizard";"magician";"vrăjitor";"ساحر";"منجم";"mago";"hechicero";9.02
"man";"governor";"bărbat";"guvernator";"رجل";"عمدة";"hombre";"gobernador";5.25
"man";"woman";"bărbat";"femeie";"رجل";"امرأة";"hombre";"mujer";8.3
"Maradona";"football";"Maradona";"rugby";"مارادونا";"كرة";"Maradona";"futbol";8.62
"marathon";"sprint";"maraton";"sprint";"ماراثون";"سباق";"maraton";"esprint";7.47
"Mars";"scientist";"Marte";"cercetător";"مريخ";"عالم";"Marte";"cientifico";5.63
"Mars";"water";"Marte";"apă";"مريخ";"مياه";"Marte";"agua";2.94
"media";"gain";"media";"câştig";"الإعلام";"كسب";"medios";"ganancia";2.88
"media";"radio";"media";"radio";"الإعلام";"الإذاعة";"medios";"radio";7.42
"media";"trading";"media";"schimburi";"الإعلام";"تجاري";"medios";"comercio";3.88
"Mexico";"Brazil";"Mexic";"Brazilia";"مكسيك";"برازيل";"Mejico";"Brasil";7.44
"midday";"noon";"amiază";"prânz";"ظهيرة";"ظهر";"mediodia";"mediodia";9.29
"mile";"kilometer";"milă";"kilometru";"ميل";"كيلومتر";"milla";"kilometro";8.66
"minister";"party";"ministru";"partid";"وزير";"حزب";"ministro";"partido";6.63
"ministry";"culture";"minister";"cultură";"وزارة";"ثقافة";"ministerio";"cultura";4.69
"minority";"peace";"minoritate";"pace";"أقليات";"سلام";"minoria";"paz";3.69
"money";"bank";"bani";"bancă";"مال";"بنك";"dinero";"banco";8.5
"money";"cash";"bani";"numerar";"مال";"نقود";"dinero";"efectivo";9.15
"money";"currency";"bani";"monedă";"مال";"عملة";"dinero";"moneda";9.04
"money";"deposit";"bani";"depozit";"مال";"إيداع";"dinero";"deposito";7.73
"money";"dollar";"bani";"dolar";"مال";"دولار";"dinero";"dolar";8.42
"money";"laundering";"bani";"spălare";"مال";"غسل";"dinero";"blanqueo";5.65
"money";"operation";"bani";"operaţiune";"مال";"تشغيل";"dinero";"operacion";3.31
"money";"possession";"bani";"posesie";"مال";"حيازة";"dinero";"posesion";7.29
"money";"property";"bani";"proprietate";"مال";"ملكية";"dinero";"propiedad";7.57
"money";"wealth";"bani";"bogăţie";"مال";"ثروة";"dinero";"riqueza";8.27
"money";"withdrawal";"bani";"scoate";"مال";"سحب";"dinero";"retiro";6.88
"monk";"oracle";"călugăr";"oracol";"راهب";"حكيم";"monje";"oraculo";5
"monk";"slave";"călugăr";"sclav";"راهب";"عبد";"monje";"esclavo";0.92
"month";"hotel";"lună";"hotel";"شهر";"فندق";"mes";"hotel";1.81
"morality";"importance";"moralitate";"importanţă";"أخلاق";"أهمية";"moralidad";"importancia";3.31
"morality";"marriage";"moralitate";"căsătorie";"أخلاق";"زواج";"moralidad";"matrimonio";3.69
"movie";"critic";"film";"critic";"فيلم";"ناقد";"pelicula";"critico";6.73
"movie";"popcorn";"film";"floricele";"فيلم";"فشار";"pelicula";"rosetas";6.19
"movie";"star";"film";"vedetă";"فيلم";"نجم";"pelicula";"estrella";7.38
"movie";"theater";"film";"cinema";"فيلم";"مسرح";"pelicula";"teatro";7.92
"murder";"manslaughter";"crimă";"omor";"جريمة";"قتل";"homicidio";"asesinato";8.53
"museum";"theater";"muzeu";"cinema";"متحف";"مسرح";"museo";"teatro";7.19
"music";"project";"muzică";"proiect";"موسيقى";"مشروع";"musica";"proyecto";3.63
"nature";"environment";"natură";"mediu";"الطبيعة";"البيئة";"naturaleza";"ambiente";8.31
"nature";"man";"natură";"bărbat";"طبيعة";"رجل";"naturaleza";"hombre";6.25
"network";"hardware";"reţea";"hardware";"شبكة";"معدات";"red";"hardware";8.31
"news";"report";"ştiri";"reportaj";"اخبار";"تقرير";"noticias";"informe";8.16
"noon";"string";"prânz";"şir";"ظهر";"خيط";"mediodia";"cuerda";0.54
"observation";"architecture";"observaţie";"arhitectură";"ملاحظة";"معماري";"observacion";"arquitectura";4.38
"oil";"stock";"petrol";"acţiune";"نفط";"اسهم";"petroleo";"accion";6.34
"OPEC";"country";"OPEC";"ţară";"اوبك";"بلد";"cartel";"pais";5.63
"OPEC";"oil";"OPEC";"petrol";"اوبك";"نفط";"cartel";"petroleo";8.59
"opera";"industry";"operă";"industrie";"أوبرا";"صناعة";"opera";"industria";2.63
"opera";"performance";"operă";"performanţă";"أوبرا";"الأداء";"opera";"actuacion";6.88
"peace";"atmosphere";"pace";"atmosferă";"سلام";"مناخ";"paz";"atmosfera";3.69
"peace";"insurance";"pace";"asigurare";"سلام";"تأمين";"paz";"seguro";2.94
"peace";"plan";"pace";"plan";"سلام";"خطة";"paz";"plan";4.75
"phone";"equipment";"telefon";"echipament";"هاتف";"معدات";"telefono";"equipo";7.13
"physics";"chemistry";"fizică";"chimie";"فيزياء";"كيمياء";"fisica";"quimica";7.35
"physics";"proton";"fizică";"proton";"فيزياء";"بروتون";"fisica";"proton";8.12
"plane";"car";"avion";"maşină";"طائرة";"سيارة";"avion";"carro";5.77
"planet";"astronomer";"planetă";"astronaut";"كوكب";"فلكي";"planeta";"astronomo";7.94
"planet";"constellation";"planetă";"constelaţie";"كوكب";"نجوم";"planeta";"constelacion";8.06
"planet";"galaxy";"planetă";"galaxie";"كوكب";"مجرة";"planeta";"galaxia";8.11
"planet";"moon";"planetă";"lună";"كوكب";"قمر";"planeta";"luna";8.08
"planet";"people";"planetă";"oameni";"كوكب";"ناس";"planeta";"gente";5.75
"planet";"space";"planetă";"spaţiu";"كوكب";"فضاء";"planeta";"espacio";7.92
"planet";"star";"planetă";"stea";"كوكب";"نجم";"planeta";"estrella";8.45
"planet";"sun";"planetă";"soare";"كوكب";"شمس";"planeta";"sol";8.02
"population";"development";"populaţie";"dezvoltare";"سكان";"تنمية";"poblacion";"desarrollo";3.75
"possibility";"girl";"posibilitate";"fată";"إمكانية";"فتاة";"posibilidad";"muchacha";1.94
"practice";"institution";"practică";"instituţie";"ممارسة";"مؤسسة";"practica";"institucion";3.19
"precedent";"antecedent";"precedent";"antecedent";"سابقة";"ماضى";"precedente";"antecedente";6.04
"precedent";"cognition";"precedent";"cunoaştere";"سابقة";"معرفة";"precedente";"cognicion";2.81
"precedent";"collection";"precedent";"colecţie";"سابقة";"مجموعة";"precedente";"coleccion";2.5
"precedent";"example";"precedent";"exemplu";"سابقة";"مثال";"precedente";"ejemplo";5.85
"precedent";"group";"precedent";"grup";"سابقة";"مجموعة";"precedente";"grupo";1.77
"precedent";"information";"precedent";"informaţie";"سابقة";"معلومات";"precedente";"informacion";3.85
"precedent";"law";"precedent";"lege";"سابقة";"قانون";"precedente";"ley";6.65
"prejudice";"recognition";"prejudiciu";"renume";"تعصب";"تقدير";"prejuicio";"reconocimiento";3
"preservation";"world";"conservare";"lume";"حفظ";"عالم";"preservacion";"mundo";6.19
"president";"medal";"preşedinte";"medalie";"رئيس";"وسام";"presidente";"medalla";3
"problem";"airport";"problemă";"aeroport";"مشكلة";"مطار";"problema";"aeropuerto";2.38
"problem";"challenge";"problemă";"provocare";"مشكلة";"تحدي";"problema";"desafio";6.75
"production";"crew";"producţie";"echipă";"إنتاج";"طاقم";"produccion";"tripulacion";6.25
"production";"hike";"fabricaţie";"excursie";"الانتاج";"إرتفع";"produccion";"caminata";1.75
"professor";"cucumber";"profesor";"castravete";"أستاذ";"خيار";"profesor";"pepino";0.31
"professor";"doctor";"profesor";"doctor";"أستاذ";"طبيب";"profesor";"doctor";6.62
"profit";"loss";"profit";"pierdere";"ربح";"خسارة";"ganancia";"perdida";7.63
"profit";"warning";"profit";"avertisment";"ربح";"تحذير";"ganancia";"advertencia";3.88
"psychology";"anxiety";"psihologie";"anxietate";"نفسي";"قلق";"psicologia";"ansiedad";7
"psychology";"clinic";"psihologie";"clinică";"نفسي";"عيادة";"psicologia";"clinica";6.58
"psychology";"cognition";"psihologie";"cogniţie";"سيكولوجيا";"الإدراك";"psicologia";"cognicion";7.48
"psychology";"depression";"psihologie";"depresie";"نفسي";"الاكتئاب";"psicologia";"depresion";7.42
"psychology";"discipline";"psihologie";"disciplină";"نفسي";"انضباط";"psicologia";"disciplina";5.58
"psychology";"doctor";"psihologie";"doctor";"نفسي";"طبيب";"psicologia";"doctor";6.42
"psychology";"fear";"psihologie";"frică";"سيكولوجي";"خوف";"psicologia";"miedo";6.85
"psychology";"Freud";"psihologie";"Freud";"سيكولوجيا";"فرويد";"psicologia";"Freud";8.21
"psychology";"health";"psihologie";"sănătate";"نفسي";"صحة";"psicologia";"salud";7.23
"psychology";"mind";"psihologie";"minte";"سيكولوجيا";"عقل";"psicologia";"mente";7.69
"psychology";"psychiatry";"psihologie";"psihiatrie";"سيكولوجيا";"نفسي";"psicologia";"psiquiatria";8.08
"psychology";"science";"psihologie";"ştiinţă";"سيكولوجي";"علوم";"psicologia";"ciencia";6.71
"reason";"criterion";"judecată";"criteriu";"سبب";"معيار";"razon";"criterio";5.91
"reason";"hypertension";"judecată";"hipertensiune";"سبب";"انفعال";"razon";"hipertension";2.31
"record";"number";"record";"număr";"سجل";"رقم";"registro";"numero";6.31
"registration";"arrangement";"înregistrare";"aranjament";"تسجيل";"ترتيب";"registro";"arreglo";6
"report";"gain";"raport";"câştig";"تقرير";"كسب";"informe";"ganancia";3.63
"rock";"jazz";"rock";"jazz";"روك";"جاز";"rock";"jazz";7.59
"rooster";"voyage";"cocoş";"voiaj";"ديك";"رحلة";"gallo";"viaje";0.62
"school";"center";"şcoală";"centru";"مدرسة";"مركز";"escuela";"centro";3.44
"seafood";"food";"peşte";"mâncare";"سمك";"طعام";"marisco";"comida";8.34
"seafood";"lobster";"peşte";"homar";"سمك";"سلطعون";"marisco";"langosta";8.7
"seafood";"sea";"peşte";"mare";"سمك";"بحر";"marisco";"mar";7.47
"secretary";"senate";"secretar";"senat";"سكرتير";"برلمان";"secretario";"senado";5.06
"seven";"series";"şapte";"serie";"سبع";"متتالي";"siete";"serie";3.56
"shore";"woodland";"mal";"împădurire";"شاطئ";"غابة";"orilla";"bosque";3.08
"shower";"flood";"ploaie";"inundaţie";"مطر";"فيضان";"aguacero";"inundacion";6.03
"shower";"thunderstorm";"ploaie";"furtună";"مطر";"عواصف";"aguacero";"tormenta";6.31
"sign";"recess";"semn";"nişă";"علامة";"ركود";"signo";"receso";2.38
"situation";"conclusion";"situaţie";"concluzie";"وضع";"ختام";"situacion";"conclusion";4.81
"situation";"isolation";"situaţie";"izolare";"وضع";"عزلة";"situacion";"aislamiento";3.88
"size";"prominence";"mărime";"importanţă";"حجم";"بارز";"tamano";"prominencia";5.31
"skin";"eye";"piele";"ochi";"جلد";"عين";"piel";"ojo";6.22
"smart";"student";"deştept";"student";"ذكي";"طالب";"elegante";"estudiante";4.62
"smart";"stupid";"deştept";"prost";"ذكي";"غبي";"elegante";"estupido";5.81
"soap";"opera";"uşor";"operă";"مسلسل";"الأوبرا";"telenovela";"opera";7.94
"space";"chemistry";"spaţiu";"chimie";"فضاء";"كيمياء";"espacio";"quimica";4.88
"space";"world";"spaţiu";"lume";"فضاء";"عالم";"espacio";"mundo";6.53
"start";"match";"început";"meci";"بداية";"مباراة";"inicio";"competencia";4.47
"start";"year";"început";"an";"بداية";"سنة";"inicio";"ano";4.06
"stock";"CD";"acţiune";"casetă";"مخزون";"قرص";"accion";"cinta";1.31
"stock";"egg";"acţiune";"omletă";"أسهم";"بيض";"accion";"huevo";1.81
"stock";"jaguar";"acţiune";"jaguar";"أسهم";"جاكوار";"ganado";"jaguar";0.92
"stock";"life";"acţiune";"viaţă";"أسهم";"حياة";"ganado";"vida";0.92
"stock";"live";"acţiune";"trăi";"أسهم";"عيش";"ganado";"vivo";3.73
"stock";"market";"acţiune";"bursă";"اسهم";"سوق";"accion";"mercado";8.08
"stock";"phone";"acţiune";"telefon";"أسهم";"هاتف";"accion";"telefono";1.62
"street";"avenue";"stradă";"bulevard";"شارع";"حاره";"calle";"avenida";8.88
"street";"block";"stradă";"bloc";"شارع";"مبنى";"calle";"cuadra";6.88
"street";"children";"stradă";"copii";"شارع";"أطفال";"calle";"ninos";4.94
